# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 16, 4.9362, 0.000478108
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 19, 1.90936, 2.77461e-005
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 22, 3.30978, 3.24191e-005
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 26, 2.05117, 4.00127e-005
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 32, 2.81322, 3.88445e-005
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 38, 7.30988, 4.73143e-005
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 45, 4.15291, 6.45461e-005
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 53, 7.86272, 8.32382e-005
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 64, 14.1985, 0.000120622
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 76, 1.9669, 0.000163556
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 90, 10.4565, 0.000235988
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 107, 5.99665, 0.000326819
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 128, 5.53084, 0.000458832
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 152, 9.49119, 0.000644877
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 181, 11.4613, 0.000920293
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 215, 10.0363, 0.00129939
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 256, 4.86155, 0.00181927
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 304, 26.5967, 0.00255848
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 362, 5.9164, 0.00366043
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 430, 24.2105, 0.00515697
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 512, 10.1029, 0.00728962
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 608, 21.7493, 0.0102722
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 724, 10.1883, 0.0146152
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 861, 16.774, 0.0206965
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 1024, 19.7117, 0.0292584
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 1217, 47.6543, 0.0446443
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 1448, 31.9429, 0.0587323
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 1722, 27.495, 0.0831897
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 2048, 14.2226, 0.117606
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 2435, 41.0111, 0.1724
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 2896, 55.9844, 0.236829
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 3444, 42.7607, 0.345837
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 4096, 27.2928, 0.477104
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 4870, 31.5261, 0.683894
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 5792, 67.0575, 0.973528
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 6888, 42.8288, 1.39322
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 8192, 74.8637, 1.9253
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 9741, 65.5553, 2.78225
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 11585, 25.3091, 3.9136
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 13777, 141.926, 5.53656
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 16384, 77.7499, 7.8914
hpce.hgp10.direct_fourier_transform_parfor, 4, 8, 19483, 176.268, 11.1741
