# name, allowedP, trueP, n, [sentinel], time
hpce.direct_fourier_transform, 8, 8, 16, 4.9362, 3.03746e-005
hpce.direct_fourier_transform, 8, 8, 19, 1.90936, 3.94286e-005
hpce.direct_fourier_transform, 8, 8, 22, 3.30978, 5.22794e-005
hpce.direct_fourier_transform, 8, 8, 26, 2.05117, 7.30159e-005
hpce.direct_fourier_transform, 8, 8, 32, 2.81322, 0.000110108
hpce.direct_fourier_transform, 8, 8, 38, 7.30988, 0.000155962
hpce.direct_fourier_transform, 8, 8, 45, 4.15291, 0.000218172
hpce.direct_fourier_transform, 8, 8, 53, 7.86272, 0.000304622
hpce.direct_fourier_transform, 8, 8, 64, 14.1985, 0.00044014
hpce.direct_fourier_transform, 8, 8, 76, 1.9669, 0.000626477
hpce.direct_fourier_transform, 8, 8, 90, 10.4565, 0.000875315
hpce.direct_fourier_transform, 8, 8, 107, 5.99665, 0.00125441
hpce.direct_fourier_transform, 8, 8, 128, 5.53084, 0.00177107
hpce.direct_fourier_transform, 8, 8, 152, 9.49119, 0.0025024
hpce.direct_fourier_transform, 8, 8, 181, 11.4613, 0.00357544
hpce.direct_fourier_transform, 8, 8, 215, 10.0363, 0.00504803
hpce.direct_fourier_transform, 8, 8, 256, 4.86155, 0.00712928
hpce.direct_fourier_transform, 8, 8, 304, 26.5967, 0.010056
hpce.direct_fourier_transform, 8, 8, 362, 5.9164, 0.0143517
hpce.direct_fourier_transform, 8, 8, 430, 24.2105, 0.0202453
hpce.direct_fourier_transform, 8, 8, 512, 10.1029, 0.0287023
hpce.direct_fourier_transform, 8, 8, 608, 21.7493, 0.0405288
hpce.direct_fourier_transform, 8, 8, 724, 10.1883, 0.0576697
hpce.direct_fourier_transform, 8, 8, 861, 16.774, 0.0817703
hpce.direct_fourier_transform, 8, 8, 1024, 19.7117, 0.115703
hpce.direct_fourier_transform, 8, 8, 1217, 47.6543, 0.16412
hpce.direct_fourier_transform, 8, 8, 1448, 31.9429, 0.232546
hpce.direct_fourier_transform, 8, 8, 1722, 27.495, 0.329401
hpce.direct_fourier_transform, 8, 8, 2048, 14.2226, 0.466703
hpce.direct_fourier_transform, 8, 8, 2435, 41.0111, 0.662085
hpce.direct_fourier_transform, 8, 8, 2896, 55.9844, 0.937649
hpce.direct_fourier_transform, 8, 8, 3444, 42.7607, 1.32914
hpce.direct_fourier_transform, 8, 8, 4096, 27.2928, 1.88732
hpce.direct_fourier_transform, 8, 8, 4870, 31.5261, 2.67915
hpce.direct_fourier_transform, 8, 8, 5792, 67.0575, 3.79934
hpce.direct_fourier_transform, 8, 8, 6888, 42.8288, 5.39077
hpce.direct_fourier_transform, 8, 8, 8192, 74.8637, 7.65698
hpce.direct_fourier_transform, 8, 8, 9741, 65.5553, 10.8734
