# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 16, 4.9362, 0.000494464
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 19, 1.60788, 1.43111e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 22, 1.26258, 1.05143e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 26, 1.50946, 1.48953e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 32, 2.81322, 1.3727e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 38, 6.35188, 2.42413e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 45, 1.44911, 2.3073e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 53, 2.82396, 2.97905e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 64, 14.1985, 2.77461e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 76, 2.76634, 4.46858e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 90, 5.12565, 4.38096e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 107, 3.92396, 6.54223e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 128, 5.53084, 4.55619e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 152, 12.1969, 4.64381e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 181, 8.17628, 4.67302e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 215, 4.90209, 5.78286e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 256, 4.86155, 4.67302e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 304, 22.9792, 6.60064e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 362, 8.57854, 6.4254e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 430, 5.41048, 7.71048e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 512, 10.1029, 7.27239e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 608, 7.11922, 0.00011186
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 724, 6.24536, 0.000127048
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 861, 8.73357, 0.000155378
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 1024, 19.7117, 0.00017553
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 1217, 43.0634, 0.000275124
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 1448, 11.5829, 0.000286807
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 1722, 8.63163, 0.000324775
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 2048, 14.2226, 0.000312508
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 2435, 24.0055, 0.000481905
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 2896, 16.0411, 0.000484826
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 3444, 7.1588, 0.000549664
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 4096, 27.2928, 0.000542947
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 4870, 15.8423, 0.000834134
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 5792, 26.4934, 0.000811645
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 6888, 6.60282, 0.00103332
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 8192, 74.8637, 0.000978998
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 9741, 18.829, 0.00148631
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 11585, 10.946, 0.00143754
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 13777, 18.2303, 0.00176699
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 16384, 77.7499, 0.00172055
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 19483, 96.585, 0.00276614
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 23170, 87.4254, 0.00279563
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 27554, 18.3728, 0.00364554
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 32768, 146.986, 0.003522
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 38967, 60.6413, 0.00583894
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 46340, 60.399, 0.00587165
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 55108, 18.6936, 0.00718097
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 65536, 170.593, 0.00699288
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 77935, 73.2701, 0.0118972
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 92681, 25.4243, 0.0118604
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 110217, 19.8043, 0.0145971
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 131072, 102.951, 0.014069
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 155871, 287.35, 0.0241072
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 185363, 107.443, 0.0245602
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 220435, 158.303, 0.0299669
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 262144, 155.101, 0.0293533
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 311743, 172.985, 0.0512975
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 370727, 153.002, 0.0520674
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 440871, 85.3106, 0.0634839
