# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 5, 8, 16, 4.9362, 6.71747e-006
hpce.fast_fourier_transform, 5, 8, 19, 1.60788, 4.08889e-006
hpce.fast_fourier_transform, 5, 8, 22, 2.40711, 2.33651e-006
hpce.fast_fourier_transform, 5, 8, 26, 1.26226, 2.62857e-006
hpce.fast_fourier_transform, 5, 8, 32, 2.81322, 2.04445e-006
hpce.fast_fourier_transform, 5, 8, 38, 6.15568, 6.13334e-006
hpce.fast_fourier_transform, 5, 8, 45, 2.95318, 4.08889e-006
hpce.fast_fourier_transform, 5, 8, 53, 4.7473, 4.67302e-006
hpce.fast_fourier_transform, 5, 8, 64, 14.1985, 4.67302e-006
hpce.fast_fourier_transform, 5, 8, 76, 1.65633, 8.46985e-006
hpce.fast_fourier_transform, 5, 8, 90, 7.4357, 8.17779e-006
hpce.fast_fourier_transform, 5, 8, 107, 3.58678, 1.05143e-005
hpce.fast_fourier_transform, 5, 8, 128, 5.53084, 9.93017e-006
hpce.fast_fourier_transform, 5, 8, 152, 7.99258, 1.92762e-005
hpce.fast_fourier_transform, 5, 8, 181, 8.10526, 1.72318e-005
hpce.fast_fourier_transform, 5, 8, 215, 5.97507, 1.98603e-005
hpce.fast_fourier_transform, 5, 8, 256, 4.86155, 2.16127e-005
hpce.fast_fourier_transform, 5, 8, 304, 22.3973, 3.79683e-005
hpce.fast_fourier_transform, 5, 8, 362, 4.18397, 3.73842e-005
hpce.fast_fourier_transform, 5, 8, 430, 14.4137, 4.49778e-005
hpce.fast_fourier_transform, 5, 8, 512, 10.1029, 4.5854e-005
hpce.fast_fourier_transform, 5, 8, 608, 18.3152, 8.61588e-005
hpce.fast_fourier_transform, 5, 8, 724, 7.20496, 0.000101638
hpce.fast_fourier_transform, 5, 8, 861, 9.97479, 0.000112737
hpce.fast_fourier_transform, 5, 8, 1024, 19.7117, 0.000110108
hpce.fast_fourier_transform, 5, 8, 1217, 40.097, 0.000200064
hpce.fast_fourier_transform, 5, 8, 1448, 22.5895, 0.000197727
hpce.fast_fourier_transform, 5, 8, 1722, 16.3501, 0.000234819
hpce.fast_fourier_transform, 5, 8, 2048, 14.2226, 0.000226057
hpce.fast_fourier_transform, 5, 8, 2435, 34.4931, 0.000392242
hpce.fast_fourier_transform, 5, 8, 2896, 39.5912, 0.000388737
hpce.fast_fourier_transform, 5, 8, 3444, 25.428, 0.000445981
hpce.fast_fourier_transform, 5, 8, 4096, 27.2928, 0.000466134
hpce.fast_fourier_transform, 5, 8, 4870, 26.5156, 0.000799671
hpce.fast_fourier_transform, 5, 8, 5792, 47.4219, 0.000829169
hpce.fast_fourier_transform, 5, 8, 6888, 25.4685, 0.000948623
hpce.fast_fourier_transform, 5, 8, 8192, 74.8637, 0.000980458
hpce.fast_fourier_transform, 5, 8, 9741, 55.1308, 0.0017185
hpce.fast_fourier_transform, 5, 8, 11585, 17.8966, 0.00179444
hpce.fast_fourier_transform, 5, 8, 13777, 84.3912, 0.00200677
hpce.fast_fourier_transform, 5, 8, 16384, 77.7499, 0.00208884
hpce.fast_fourier_transform, 5, 8, 19483, 148.231, 0.00360523
hpce.fast_fourier_transform, 5, 8, 23170, 152.583, 0.00392972
hpce.fast_fourier_transform, 5, 8, 27554, 136.307, 0.00432371
hpce.fast_fourier_transform, 5, 8, 32768, 146.986, 0.0044493
hpce.fast_fourier_transform, 5, 8, 38967, 43.113, 0.00811412
hpce.fast_fourier_transform, 5, 8, 46340, 100.126, 0.00846751
hpce.fast_fourier_transform, 5, 8, 55108, 10.0104, 0.00932326
hpce.fast_fourier_transform, 5, 8, 65536, 170.593, 0.00984664
hpce.fast_fourier_transform, 5, 8, 77935, 210.73, 0.0174786
hpce.fast_fourier_transform, 5, 8, 92681, 135.635, 0.0180887
hpce.fast_fourier_transform, 5, 8, 110217, 36.6949, 0.0202339
hpce.fast_fourier_transform, 5, 8, 131072, 102.951, 0.0207386
hpce.fast_fourier_transform, 5, 8, 155871, 342.758, 0.0382627
hpce.fast_fourier_transform, 5, 8, 185363, 167.773, 0.0402005
hpce.fast_fourier_transform, 5, 8, 220435, 194.78, 0.0449764
hpce.fast_fourier_transform, 5, 8, 262144, 155.101, 0.0471014
hpce.fast_fourier_transform, 5, 8, 311743, 162.756, 0.0893099
hpce.fast_fourier_transform, 5, 8, 370727, 71.2571, 0.0965753
hpce.fast_fourier_transform, 5, 8, 440871, 168.343, 0.108335
hpce.fast_fourier_transform, 5, 8, 524288, 159.571, 0.116012
hpce.fast_fourier_transform, 5, 8, 623487, 537.712, 0.192601
hpce.fast_fourier_transform, 5, 8, 741455, 428.475, 0.266694
hpce.fast_fourier_transform, 5, 8, 881743, 315.415, 0.228993
hpce.fast_fourier_transform, 5, 8, 1048576, 837.071, 0.24402
hpce.fast_fourier_transform, 5, 8, 1246974, 987.911, 0.404854
hpce.fast_fourier_transform, 5, 8, 1482910, 259.427, 0.427571
hpce.fast_fourier_transform, 5, 8, 1763487, 290.813, 0.475654
hpce.fast_fourier_transform, 5, 8, 2097152, 753.578, 0.507918
hpce.fast_fourier_transform, 5, 8, 2493948, 963.293, 0.841215
hpce.fast_fourier_transform, 5, 8, 2965820, 564.661, 0.887809
hpce.fast_fourier_transform, 5, 8, 3526975, 1529.42, 0.981525
hpce.fast_fourier_transform, 5, 8, 4194304, 2519.66, 1.05746
hpce.fast_fourier_transform, 5, 8, 4987896, 1408.64, 1.78803
hpce.fast_fourier_transform, 5, 8, 5931641, 843.853, 1.86895
hpce.fast_fourier_transform, 5, 8, 7053950, 1603.93, 2.06904
hpce.fast_fourier_transform, 5, 8, 8388608, 1248.03, 2.24639
hpce.fast_fourier_transform, 5, 8, 9975792, 2024.09, 3.74193
hpce.fast_fourier_transform, 5, 8, 11863283, 2915.84, 3.90315
hpce.fast_fourier_transform, 5, 8, 14107900, 2547.17, 4.31936
hpce.fast_fourier_transform, 5, 8, 16777216, 2285.4, 4.61438
hpce.fast_fourier_transform, 5, 8, 19951584, 3685.35, 7.8257
hpce.fast_fourier_transform, 5, 8, 23726566, 2147.63, 8.19429
hpce.fast_fourier_transform, 5, 8, 28215801, 1049.74, 9.21143
hpce.fast_fourier_transform, 5, 8, 33554432, 4658.76, 9.5951
hpce.fast_fourier_transform, 5, 8, 39903169, 2354.08, 16.1946
