# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 16, 4.9362, 0.00051228
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 19, 1.60788, 1.57714e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 22, 1.26258, 7.88572e-006
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 26, 1.50946, 8.76191e-006
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 32, 2.81322, 8.17779e-006
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 38, 6.35188, 2.16127e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 45, 1.44911, 2.13207e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 53, 2.82396, 2.19048e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 64, 14.1985, 1.8108e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 76, 2.76634, 2.59937e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 90, 5.12565, 2.3073e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 107, 3.92396, 2.86222e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 128, 5.53084, 2.86222e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 152, 12.1969, 4.20572e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 181, 8.17628, 3.82604e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 215, 4.90209, 4.67302e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 256, 4.86155, 4.84826e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 304, 22.9792, 7.44763e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 362, 8.57854, 7.18477e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 430, 5.41048, 8.49906e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 512, 10.1029, 9.08318e-005
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 608, 7.11922, 0.000150997
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 724, 6.24536, 0.000159759
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 861, 8.73357, 0.000197727
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 1024, 19.7117, 0.000193346
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 1217, 43.0634, 0.000318642
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 1448, 11.5829, 0.000340546
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 1722, 8.63163, 0.000385816
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 2048, 14.2226, 0.000349308
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 2435, 24.0055, 0.000596394
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 2896, 16.0411, 0.000592889
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 3444, 7.1588, 0.000674959
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 4096, 27.2928, 0.000715264
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 4870, 15.8423, 0.00124127
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 5792, 26.4934, 0.00106311
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 6888, 6.60282, 0.00135138
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 8192, 74.8637, 0.00131779
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 9741, 18.829, 0.00215894
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 11585, 10.946, 0.00205379
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 13777, 18.2303, 0.00263617
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 16384, 77.7499, 0.00268115
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 19483, 96.585, 0.00401383
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 23170, 87.4254, 0.00413183
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 27554, 18.3728, 0.00499633
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 32768, 146.986, 0.0045229
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 38967, 60.6413, 0.00766492
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 46340, 60.399, 0.00773064
hpce.hgp10.fast_fourier_transform_combined, 4, 8, 55108, 18.6936, 0.00942461
